OBJECTID,Address,TotalRoofArea,UsableRoofArea,PercentUsable,PotentialSystemSize,ProjectedAnnualKWH,ProjectedAnnualSavings,EntranceCorridor,HistoricallyProtected,Comments,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
57,112 AZALEA DR,1572.7452545,671.66736,42.70668431,8.6357232,10362.86784,1139.915462, , ,,,,CITY,2020/12/08 18:58:33+00,1572.75,170.229989191933
58,100 TROOST CT,2108.13380617,219.58356,10.41601578,2.8232172,3387.86064,372.6646704, , ,,,,CITY,2020/12/08 18:58:33+00,2108.13671875,194.57803212919
59,1020 LINDEN AVE,3537.79533431,1162.5012,32.85948273,14.946444,17935.7328,1972.930608, , ,,,,CITY,2020/12/08 18:58:33+00,3537.79296875,308.299746805246
60,221 OLD LYNCHBURG RD,1351.4030924,458.54214,33.93081864,5.8955418,7074.65016,778.2115176, , ,,,,CITY,2020/12/08 18:58:33+00,1351.40625,154.790678145317
61,100 HARRIS RD,1616.98628908,393.95874,24.36376529,5.0651838,6078.22056,668.6042616, , ,,,,CITY,2020/12/08 18:58:33+00,1616.98828125,172.390086041869
62,302 PALATINE AVE,896.64665554,219.58356,24.48941961,2.8232172,3387.86064,372.6646704, , ,,,,CITY,2020/12/08 18:58:33+00,896.65234375,130.012129106259
63,102 TROOST CT,1448.07838433,400.41708,27.65161547,5.1482196,6177.86352,679.5649872, , ,,,,CITY,2020/12/08 18:58:33+00,1448.08203125,155.820240656706
64,902 ROUGEMONT AVE,1080.88978942,290.6253,26.88759943,3.736611,4483.9332,493.232652, , ,,,,CITY,2020/12/08 18:58:33+00,1080.88671875,136.348223313853
65,113 HILTON DR,1237.42995744,109.79178,8.87256514,1.4116086,1693.93032,186.3323352, , ,,,,CITY,2020/12/08 18:58:33+00,1237.421875,144.122078873503
66,511 MOSELEY DR,1333.36383,607.08396,45.53025616,7.8053652,9366.43824,1030.308206, , ,,,,CITY,2020/12/08 18:58:33+00,1333.3671875,150.529810345616
67,508+ MOSELEY DR,1309.52409791,142.08348,10.85000924,1.8267876,2192.14512,241.1359632, , ,,,,CITY,2020/12/08 18:58:33+00,1309.5234375,152.104888630822
68,913 ROUGEMONT AVE,798.34848247,219.58356,27.50472544,2.8232172,3387.86064,372.6646704, , ,,,,CITY,2020/12/08 18:58:33+00,798.34765625,121.348859529901
69,109 HILTON DR,1728.73227905,374.58372,21.66811633,4.8160764,5779.29168,635.7220848, , ,,,,CITY,2020/12/08 18:58:33+00,1728.7421875,187.758255432934
70,232+ OLD LYNCHBURG RD,1179.4385291,277.70862,23.54583157,3.5705394,4284.64728,471.3112008, , ,,,,CITY,2020/12/08 18:58:33+00,1179.4375,138.283651874945
71,106 LIDE PL,1215.39849056,264.79194,21.7864296,3.4044678,4085.36136,449.3897496, , ,,,,CITY,2020/12/08 18:58:33+00,1215.40234375,140.760690731102
72,304 PALATINE AVE,841.53513434,335.83368,39.9072678,4.3178616,5181.43392,569.9577312, , ,,,,CITY,2020/12/08 18:58:33+00,841.52734375,129.632528852727
73,1605 MERIDIAN ST,1186.4465434,348.75036,29.3945269,4.4839332,5380.71984,591.8791824, , ,,,,CITY,2020/12/08 18:58:33+00,1186.453125,141.016763976753
74,222 MONTE VISTA AVE,1017.92966348,381.04206,37.43304442,4.8991122,5878.93464,646.6828104, , ,,,,CITY,2020/12/08 18:58:33+00,1017.9296875,130.874578518995
75,103 LEIGH PL,1008.20977179,206.66688,20.49840061,2.6571456,3188.57472,350.7432192, , ,,,,CITY,2020/12/08 18:58:33+00,1008.20703125,127.899624965242
76,111 HILTON DR,1227.02958546,316.45866,25.79063075,4.0687542,4882.50504,537.0755544, , ,,,,CITY,2020/12/08 18:58:33+00,1227.0234375,143.559005487127
77,420 QUARRY RD,1155.32159509,452.0838,39.13055929,5.812506,6975.0072,767.250792, , ,,,,CITY,2020/12/08 18:58:33+00,1155.32421875,147.33030465982
78,106 GRIMES PL,1201.66092816,45.20838,3.76215796,0.5812506,697.50072,76.7250792, , ,,,,CITY,2020/12/08 18:58:33+00,1201.66796875,143.566345554048
79,2720 MCELROY DR,1734.04003493,548.9589,31.65779867,7.058043,8469.6516,931.661676, , ,,,,CITY,2020/12/08 18:58:33+00,1734.03515625,172.180900019889
80,915 ROUGEMONT AVE,1333.51310534,232.50024,17.43516754,2.9892888,3587.14656,394.5861216, , ,,,,CITY,2020/12/08 18:58:33+00,1333.515625,149.358641146519
81,103+ CAMELLIA DR,1385.94436536,490.83384,35.41511745,6.3107208,7572.86496,833.0151456, , ,,,,CITY,2020/12/08 18:58:33+00,1385.94140625,156.834434073159
82,904 ROUGEMONT AVE,951.86833348,232.50024,24.42567209,2.9892888,3587.14656,394.5861216, , ,,,,CITY,2020/12/08 18:58:33+00,951.86328125,124.222522934533
83,104 LIDE PL,1148.24285601,381.04206,33.18479786,4.8991122,5878.93464,646.6828104, , ,,,,CITY,2020/12/08 18:58:33+00,1148.24609375,139.059346746753
84,104 GRIMES PL,1132.57882777,361.66704,31.93305611,4.6500048,5580.00576,613.8006336, , ,,,,CITY,2020/12/08 18:58:33+00,1132.58203125,139.767964118492
85,107 HILTON DR,1199.54128738,335.83368,27.99684278,4.3178616,5181.43392,569.9577312, , ,,,,CITY,2020/12/08 18:58:33+00,1199.546875,141.776061304804
86,1301+ KNOLL ST,1285.08745562,342.29202,26.63569915,4.4008974,5281.07688,580.9184568, , ,,,,CITY,2020/12/08 18:58:33+00,1285.08203125,163.041289342736
87,225 MONTE VISTA AVE,1170.10846434,542.50056,46.36327151,6.9750072,8370.00864,920.7009504, , ,,,,CITY,2020/12/08 18:58:33+00,1170.109375,145.858863875925
88,101 SHALE PL,1120.10300826,284.16696,25.36971645,3.6535752,4384.29024,482.2719264, , ,,,,CITY,2020/12/08 18:58:33+00,1120.1015625,145.931421193372
89,102 KEYSTONE PL,4224.6346645,1065.6261,25.22410082,13.700907,16441.0884,1808.519724, , ,,,,CITY,2020/12/08 18:58:33+00,4224.63671875,280.281921767604
90,223 OLD LYNCHBURG RD,1283.22794952,374.58372,29.19073916,4.8160764,5779.29168,635.7220848, , ,,,,CITY,2020/12/08 18:58:33+00,1283.23046875,145.502522754759
91,906 ROUGEMONT AVE,1040.09805643,284.16696,27.32116956,3.6535752,4384.29024,482.2719264, , ,,,,CITY,2020/12/08 18:58:33+00,1040.09765625,140.188753484263
92,917 ROUGEMONT AVE,975.94918128,58.12506,5.95574668,0.7473222,896.78664,98.6465304, , ,,,,CITY,2020/12/08 18:58:33+00,975.94140625,133.427315116418
93,234 OLD LYNCHBURG RD,1553.12673795,497.29218,32.01877668,6.3937566,7672.50792,843.9758712, , ,,,,CITY,2020/12/08 18:58:33+00,1553.12890625,173.64484788531
94,306 PALATINE AVE,1145.91560039,413.33376,36.07017545,5.3142912,6377.14944,701.4864384, , ,,,,CITY,2020/12/08 18:58:33+00,1145.91796875,154.90182881403
95,510 MOSELEY DR,1317.72517857,542.50056,41.16947828,6.9750072,8370.00864,920.7009504, , ,,,,CITY,2020/12/08 18:58:33+00,1317.72265625,149.239226236603
96,1305 KNOLL ST,1604.05683193,406.87542,25.36539965,5.2312554,6277.50648,690.5257128, , ,,,,CITY,2020/12/08 18:58:33+00,1604.06640625,169.3077817855
97,105 LEIGH PL,1165.98199226,342.29202,29.35654512,4.4008974,5281.07688,580.9184568, , ,,,,CITY,2020/12/08 18:58:33+00,1165.984375,141.622520230488
98,114 AZALEA DR,1658.32574569,452.0838,27.26145981,5.812506,6975.0072,767.250792, , ,,,,CITY,2020/12/08 18:58:33+00,1658.34375,179.940801429294
99,513 MOSELEY DR,1834.75601378,465.00048,25.34399554,5.9785776,7174.29312,789.1722432, , ,,,,CITY,2020/12/08 18:58:33+00,1834.7578125,187.91919929939
100,1303 KNOLL ST,1149.11268039,264.79194,23.04316595,3.4044678,4085.36136,449.3897496, , ,,,,CITY,2020/12/08 18:58:33+00,1149.11328125,136.639580100941
101,105+ LONGWOOD DR,1494.79793161,374.58372,25.05915504,4.8160764,5779.29168,635.7220848, , ,,,,CITY,2020/12/08 18:58:33+00,1494.8046875,158.222856975403
102,102 LIDE PL,976.39733276,264.79194,27.11928152,3.4044678,4085.36136,449.3897496, , ,,,,CITY,2020/12/08 18:58:33+00,976.41015625,125.904028576153
103,308 PALATINE AVE,888.26337629,122.70846,13.81442314,1.5776802,1893.21624,208.2537864, , ,,,,CITY,2020/12/08 18:58:33+00,888.2578125,134.593122602956
104,224+ MONTE VISTA AVE,1392.06047936,445.62546,32.01193336,5.7294702,6875.36424,756.2900664, , ,,,,CITY,2020/12/08 18:58:33+00,1392.046875,170.522496157005
105,102 CAMELLIA DR,1698.57914654,794.37582,46.76707655,10.2134034,12256.08408,1348.169249, , ,,,,CITY,2020/12/08 18:58:33+00,1698.59375,184.540103246685
106,1607 MERIDIAN ST,1735.21608321,510.20886,29.40318798,6.5598282,7871.79384,865.8973224, , ,,,,CITY,2020/12/08 18:58:33+00,1735.20703125,185.005331574051
107,908 ROUGEMONT AVE,1056.71327205,277.70862,26.28041328,3.5705394,4284.64728,471.3112008, , ,,,,CITY,2020/12/08 18:58:33+00,1056.70703125,135.590511604652
108,919 ROUGEMONT AVE,761.83956033,187.29186,24.58416024,2.4080382,2889.64584,317.8610424, , ,,,,CITY,2020/12/08 18:58:33+00,761.84375,119.45555261575
109,104 TROOST CT,1470.99473672,503.75052,34.24556843,6.4767924,7772.15088,854.9365968, , ,,,,CITY,2020/12/08 18:58:33+00,1470.99609375,159.584431493899
110,103 SHALE PL,983.70961316,310.00032,31.51339752,3.9857184,4782.86208,526.1148288, , ,,,,CITY,2020/12/08 18:58:33+00,983.71484375,126.46780069865
111,100 LIDE PL,1144.33144969,303.54198,26.52570319,3.9026826,4683.21912,515.1541032, , ,,,,CITY,2020/12/08 18:58:33+00,1144.32421875,139.017032276039
112,225 OLD LYNCHBURG RD,1475.3107236,510.20886,34.58314746,6.5598282,7871.79384,865.8973224, , ,,,,CITY,2020/12/08 18:58:33+00,1475.32421875,166.548012815317
113,105 CAMELLIA DR,1609.23007593,626.45898,38.92911269,8.0544726,9665.36712,1063.190383, , ,,,,CITY,2020/12/08 18:58:33+00,1609.2421875,173.211135863243
114,100 LEIGH PL,1011.02279199,258.3336,25.55170725,3.321432,3985.7184,438.429024, , ,,,,CITY,2020/12/08 18:58:33+00,1011.01171875,128.16680094146
115,105 HILTON DR,1968.20410894,529.58388,26.90695942,6.8089356,8170.72272,898.7794992, , ,,,,CITY,2020/12/08 18:58:33+00,1968.203125,188.647896161951
116,910 ROUGEMONT AVE,1047.97683187,264.79194,25.26696444,3.4044678,4085.36136,449.3897496, , ,,,,CITY,2020/12/08 18:58:33+00,1047.9765625,130.467189480751
117,227 MONTE VISTA AVE,1056.22619723,200.20854,18.95508135,2.5741098,3088.93176,339.7824936, , ,,,,CITY,2020/12/08 18:58:33+00,1056.2265625,152.52062741848
118,2722 MCELROY DR,1645.22051406,542.50056,32.97433765,6.9750072,8370.00864,920.7009504, , ,,,,CITY,2020/12/08 18:58:33+00,1645.22265625,179.002399457191
119,236+ OLD LYNCHBURG RD,1310.79546025,393.95874,30.05493569,5.0651838,6078.22056,668.6042616, , ,,,,CITY,2020/12/08 18:58:33+00,1310.796875,146.423887479961
120,112 HILTON DR,2024.76872448,613.5423,30.3018452,7.888401,9466.0812,1041.268932, , ,,,,CITY,2020/12/08 18:58:33+00,2024.77734375,226.030935108927
121,201 AZALEA DR,1808.35095317,632.91732,34.99969596,8.1375084,9765.01008,1074.151109, , ,,,,CITY,2020/12/08 18:58:33+00,1808.34375,178.829161938908
122,1001 ROUGEMONT AVE,1060.54028959,219.58356,20.70487699,2.8232172,3387.86064,372.6646704, , ,,,,CITY,2020/12/08 18:58:33+00,1060.53515625,144.710542486696
123,105 SHALE PL,1254.01329057,361.66704,28.84076544,4.6500048,5580.00576,613.8006336, , ,,,,CITY,2020/12/08 18:58:33+00,1254.01953125,148.486395119951
124,512 MOSELEY DR,1310.85569351,368.12538,28.08283046,4.7330406,5679.64872,624.7613592, , ,,,,CITY,2020/12/08 18:58:33+00,1310.8515625,148.991926404474
125,517 MOSELEY DR,1387.82169764,368.12538,26.52540838,4.7330406,5679.64872,624.7613592, , ,,,,CITY,2020/12/08 18:58:33+00,1387.82421875,158.160718196926
126,912 ROUGEMONT AVE,1016.87952659,271.25028,26.67477052,3.4875036,4185.00432,460.3504752, , ,,,,CITY,2020/12/08 18:58:33+00,1016.88671875,128.525415333361
127,1609 MERIDIAN ST,1201.81288758,335.83368,27.94392426,4.3178616,5181.43392,569.9577312, , ,,,,CITY,2020/12/08 18:58:33+00,1201.82421875,151.869533368881
128,107+ LONGWOOD DR,1522.61511434,155.00016,10.17986492,1.9928592,2391.43104,263.0574144, , ,,,,CITY,2020/12/08 18:58:33+00,1522.6171875,172.451071742533
129,102 LEIGH PL,1012.53505034,264.79194,26.15138556,3.4044678,4085.36136,449.3897496, , ,,,,CITY,2020/12/08 18:58:33+00,1012.53125,128.142029110393
130,107 LEIGH PL,745.07657062,103.33344,13.86883487,1.3285728,1594.28736,175.3716096, , ,,,,CITY,2020/12/08 18:58:33+00,745.07421875,109.244677605006
131,116 AZALEA DR,1199.4938285,284.16696,23.69057313,3.6535752,4384.29024,482.2719264, , ,,,,CITY,2020/12/08 18:58:33+00,1199.484375,139.852922892934
132,2745 MCELROY DR,1437.77453474,342.29202,23.80707152,4.4008974,5281.07688,580.9184568, , ,,,,CITY,2020/12/08 18:58:33+00,1437.7734375,153.630964307232
133,229 MONTE VISTA AVE,1824.31205671,574.79226,31.50734283,7.3901862,8868.22344,975.5045784, , ,,,,CITY,2020/12/08 18:58:33+00,1824.30859375,183.990206076542
134,1806+ EASTVIEW ST,824.46600221,322.917,39.16680531,4.15179,4982.148,548.03628, , ,,,,CITY,2020/12/08 18:58:33+00,824.46484375,123.400683991563
135,508 HARRIS RD,56687.5206166,21196.27188,37.39142507,272.5234956,327028.1947,35973.10142, , ,,,,CITY,2020/12/08 18:58:33+00,56687.55859375,1252.35761877378
136,1661 MERIDIAN ST,1138.17670956,316.45866,27.80399973,4.0687542,4882.50504,537.0755544, , ,,,,CITY,2020/12/08 18:58:33+00,1138.171875,137.996352111645
137,107 SHALE PL,1177.00974513,142.08348,12.07156327,1.8267876,2192.14512,241.1359632, , ,,,,CITY,2020/12/08 18:58:33+00,1177.0078125,144.434299083273
138,103+ KEYSTONE PL,4743.74648491,2234.58564,47.10592449,28.7303868,34476.46416,3792.411058, , ,,,,CITY,2020/12/08 18:58:33+00,4743.75390625,361.399185506656
139,238 OLD LYNCHBURG RD,915.12878197,387.5004,42.34381145,4.982148,5978.5776,657.643536, , ,,,,CITY,2020/12/08 18:58:33+00,915.1171875,121.516102889315
140,914 ROUGEMONT AVE,1298.24329094,361.66704,27.85818643,4.6500048,5580.00576,613.8006336, , ,,,,CITY,2020/12/08 18:58:33+00,1298.24609375,163.230668291465
141,227 OLD LYNCHBURG RD,1515.60884531,432.70878,28.55016099,5.5633986,6676.07832,734.3686152, , ,,,,CITY,2020/12/08 18:58:33+00,1515.62109375,164.913251982733
142,1300 KNOLL ST,1660.46607854,452.0838,27.2263201,5.812506,6975.0072,767.250792, , ,,,,CITY,2020/12/08 18:58:33+00,1660.47265625,168.099802366071
143,110 HILTON DR,1220.83219388,206.66688,16.92836092,2.6571456,3188.57472,350.7432192, , ,,,,CITY,2020/12/08 18:58:33+00,1220.8203125,143.072095962104
144,519 MOSELEY DR,1537.29754139,303.54198,19.74516777,3.9026826,4683.21912,515.1541032, , ,,,,CITY,2020/12/08 18:58:33+00,1537.30078125,177.304457251545
145,1306 KNOLL ST,3899.04254268,1633.96002,41.9066989,21.0080574,25209.66888,2773.063577, , ,,,,CITY,2020/12/08 18:58:33+00,3899.02734375,351.644617582349
146,1304 KNOLL ST,2907.89672767,962.29266,33.09239468,12.3723342,14846.80104,1633.148114, , ,,,,CITY,2020/12/08 18:58:33+00,2907.91015625,253.118922133208
147,107 CAMELLIA DR,1499.78252407,691.04238,46.07617159,8.8848306,10661.79672,1172.797639, , ,,,,CITY,2020/12/08 18:58:33+00,1499.79296875,166.390856735548
148,104 CAMELLIA DR,1780.82202259,632.91732,35.54073935,8.1375084,9765.01008,1074.151109, , ,,,,CITY,2020/12/08 18:58:33+00,1780.8125,176.695956770842
149,1808+ EASTVIEW ST,923.37038341,368.12538,39.86757383,4.7330406,5679.64872,624.7613592, , ,,,,CITY,2020/12/08 18:58:33+00,923.3671875,131.154927645857
150,108 TROOST CT,1260.720964,258.3336,20.49094227,3.321432,3985.7184,438.429024, , ,,,,CITY,2020/12/08 18:58:33+00,1260.73046875,143.862736029293
151,916 ROUGEMONT AVE,1117.81695021,284.16696,25.42160095,3.6535752,4384.29024,482.2719264, , ,,,,CITY,2020/12/08 18:58:33+00,1117.80078125,134.199477190181
152,1005 ROUGEMONT AVE,1418.78382584,335.83368,23.67053199,4.3178616,5181.43392,569.9577312, , ,,,,CITY,2020/12/08 18:58:33+00,1418.78125,163.209700399544
153,1659 MERIDIAN ST,1150.46859531,180.83352,15.71824926,2.3250024,2790.00288,306.9003168, , ,,,,CITY,2020/12/08 18:58:33+00,1150.47265625,138.013026451072
154,108 HILTON DR,1216.96881814,322.917,26.53453181,4.15179,4982.148,548.03628, , ,,,,CITY,2020/12/08 18:58:33+00,1216.96875,143.209321385305
155,100 SHALE PL,693.95008243,148.54182,21.40525987,1.9098234,2291.78808,252.0966888, , ,,,,CITY,2020/12/08 18:58:33+00,693.9609375,106.126209757584
156,1611+ MERIDIAN ST,1416.4688498,465.00048,32.82814646,5.9785776,7174.29312,789.1722432, , ,,,,CITY,2020/12/08 18:58:33+00,1416.4765625,162.127456304076
